site_id,zone,data,path1,path2,path1_mean,path2_mean,path1_n,path2_n,t_stat,p_value,significant
ME_ABR,AZ,,12,11,NA,NA,101,2,NA,NA,FALSE
ME_ABR,USAZ,,12,11,NA,NA,105,2,NA,NA,FALSE
ME_BIG,AZ,,12,11,NA,NA,113,2,NA,NA,FALSE
ME_BIG,USAZ,,12,11,NA,NA,110,1,NA,NA,FALSE
ME_KAT,AZ,,11,12,0.27901652618677336,0.2693223932043946,89,83,2.30220494625819,0.022544500010096023,TRUE
ME_KAT,USAZ,,11,12,0.3461112106883844,0.33479879399393503,98,88,2.505094871883156,0.013112037679608701,TRUE
ME_NBR,AZ,,11,12,0.31131138328209373,0.299632167502204,105,85,3.4773988380248797,6.341255312553567e-4,TRUE
ME_NBR,USAZ,,11,12,0.3329971234740284,0.3148228864701215,103,91,4.799521588882347,3.2304668766613993e-6,TRUE
ME_SAD,AZ,,12,13,0.3343780780405459,0.3280232738366871,104,4,1.7739444870284624,0.10500076822742657,FALSE
ME_SAD,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
ME_SUG,AZ,,12,11,NA,NA,105,1,NA,NA,FALSE
ME_SUG,USAZ,,12,11,0.3480630057081318,0.3796932300104456,112,3,-3.5881136708815715,0.03504652824581576,TRUE
NH_BON,AZ,,13,12,0.2825638077451938,0.2942532181460512,92,94,-2.466938482605172,0.014542266601952236,TRUE
NH_BON,USAZ,,13,12,0.341750250264076,0.35539298381650863,96,99,-2.8566186309901394,0.004752006012535161,TRUE
NH_FRA,AZ,,13,12,0.27619013809644144,0.2854832688015795,82,82,-2.1508970457761802,0.0329719733707974,TRUE
NH_FRA,USAZ,,13,12,0.31005268062423075,0.3216722128500513,85,85,-2.8209254689905956,0.00538234648003064,TRUE
NH_GUY,AZ,,13,12,0.27463656713341633,0.292294210880883,80,85,-4.761772457032324,4.359033989339478e-6,TRUE
NH_GUY,USAZ,,13,12,0.307950110942073,0.3242056272381554,82,92,-4.714089328372913,4.993640863449933e-6,TRUE
NH_MOO,AZ,,13,12,0.3177012598189294,0.31785612828701,86,17,-0.02035949157669173,0.9839245183647907,FALSE
NH_MOO,USAZ,,13,12,0.31157762616896917,0.3168375904440373,89,12,-0.6790819697377748,0.5075035787934066,FALSE
NH_PRE,AZ,,12,13,0.27363943904388627,0.26859359223293766,73,74,1.1786496216501914,0.2405405964866071,FALSE
NH_PRE,USAZ,,13,12,0.32854452716192467,0.3412496103937054,82,87,-2.7965408256607556,0.0057747049642445,TRUE
NY_ALG,AZ,,14,15,0.3058841279273754,0.2923965322696661,80,57,2.400665473694012,0.017789977071467938,TRUE
NY_ALG,USAZ,,14,15,0.31240490947728944,0.2951386847797136,83,54,3.151111918665505,0.00203612631432334,TRUE
NY_HAY,AZ,,14,15,0.31016693891800606,0.30610518951096044,84,5,0.6530820960274502,0.527007399072,FALSE
NY_HAY,USAZ,,14,15,NA,NA,84,2,NA,NA,FALSE
NY_MAR,AZ,,14,15,0.30478465049980735,0.2995270443505357,72,12,0.7481064159993496,0.46343756426516813,FALSE
NY_MAR,USAZ,,14,15,0.3132736715093179,0.30496859727588044,77,12,0.9796406071436884,0.34165039712749057,FALSE
NY_SKY,AZ,,14,15,0.3274411882643006,0.31775198804786176,84,11,1.0935459916232428,0.29150909851661344,FALSE
NY_SKY,USAZ,,14,15,0.3250572747914917,0.3183232034521769,85,12,1.06681690325495,0.2989242083977327,FALSE
NY_WHF,AZ,,14,15,0.2860745163344912,0.2721912900631579,80,50,2.708761647265878,0.008002985157170232,TRUE
NY_WHF,USAZ,,14,15,0.2876575144843802,0.26923138144449654,80,49,3.446861973557619,8.625094650505235e-4,TRUE
QC_ALB,AZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_ALB,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_AUC,AZ,,11,10,0.29748167353595006,0.30967379775870013,67,75,-2.460141790444075,0.015171486099196699,TRUE
QC_AUC,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_CAS,AZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_CAS,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_COL,AZ,,11,10,0.3734976713974706,0.3739308030857256,86,80,-0.05126077675109988,0.9591824305574432,FALSE
QC_COL,USAZ,,10,11,0.3185895818600058,0.3137977506380076,75,87,0.6222752797176969,0.5346820411663896,FALSE
QC_CON,AZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_CON,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_FOR,AZ,,11,10,0.3067352555189176,0.3139826516726866,81,73,-1.342043620743017,0.18160622418102645,FALSE
QC_FOR,USAZ,,11,10,0.32682810100833365,0.3354632549731075,82,70,-1.2338367603879223,0.21927887334969715,FALSE
QC_JAC,AZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_JAC,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_JOS,AZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_JOS,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_LOG,AZ,,11,10,0.3334330251176828,0.3369796039917067,73,72,-0.48041879070633786,0.6316642781364619,FALSE
QC_LOG,USAZ,,11,10,0.3351561552037307,0.33800748724789165,76,72,-0.34543884313343914,0.7302637498886009,FALSE
QC_MCW,AZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_MCW,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_MIC,AZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_MIC,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_MSA,AZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_MSA,USAZ,,11,10,0.28847184353280614,0.3022857804592823,62,74,-2.558386637770726,0.011641581078723501,TRUE
QC_PSA,AZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_PSA,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_RIC,AZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_RIC,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_SOM,AZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_SOM,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_VIE,AZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_VIE,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_XAL,AZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
QC_XAL,USAZ,,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VT_CAM,AZ,,13,14,0.28615465862196743,0.2713586565248981,90,87,3.158400413708477,0.0018806362659492322,TRUE
VT_CAM,USAZ,,13,14,0.3341533183415188,0.31183146280983487,91,94,4.179399538707897,4.545558667990661e-5,TRUE
VT_MAN,AZ,,13,14,0.31532369673341726,0.29566908952213106,87,86,4.812218916127674,3.2659536680820214e-6,TRUE
VT_MAN,USAZ,,13,14,0.34960234502260384,0.322836796600331,95,86,5.170571437795845,6.261080891545316e-7,TRUE
