site_id,zone,SP,SubRegion,Elevation_m,elevation_relative,az_size_class,start_year,end_year,start_ndvi,end_ndvi,start_se,end_se,total_change,change_se,change_per_decade,change_t_stat,change_p_value,significant_change,model_success,trend_direction,change_magnitude
ME_ABR,AZ,ME,Longfellow Mountains,1234,-26.25,Small,1984,2024,0.28052533961079495,0.2963327736296178,0.004682525540422925,0.004293337620823656,0.01580743401882284,0.006352857102366835,0.00395185850470571,2.488240135754602,0.01789869431584537,TRUE,TRUE,Increasing,Small
ME_ABR,USAZ,ME,Longfellow Mountains,1234,-26.25,Small,1984,2024,0.36677261727349186,0.36003467082027296,0.006414770360070564,0.005771540284468072,-0.0067379464532189015,0.00862901825398913,-0.0016844866133047254,-0.7808473982661932,0.44014193015531666,FALSE,TRUE,No significant trend,Not significant
ME_BIG,AZ,ME,Longfellow Mountains,1259,-1.25,Small,1984,2024,0.3280813955305961,0.35795589382946663,0.005788215532605499,0.004849466348944579,0.02987449829887051,0.007551209368137095,0.007468624574717628,3.9562534744339417,3.670166951138424e-4,TRUE,TRUE,Increasing,Small
ME_BIG,USAZ,ME,Longfellow Mountains,1259,-1.25,Small,1984,2024,0.3551627219317687,0.3589565418936633,0.005893304738215418,0.005034628610959119,0.0037938199618945956,0.007751033865734329,9.484549904736489e-4,0.48945986143426184,0.6276592639592216,FALSE,TRUE,No significant trend,Not significant
ME_KAT,AZ,ME,Baxter State Park,1606,170.5,Large,1984,2024,0.28280422998691257,0.3122976884009586,0.004221903243608695,0.003424439056835777,0.029493458414046048,0.005436106129609311,0.007373364603511512,5.425475093909862,3.7661688063575463e-6,TRUE,TRUE,Increasing,Small
ME_KAT,USAZ,ME,Baxter State Park,1606,170.5,Large,1984,2024,0.35316437866364137,0.37120833961661653,0.005892578966650023,0.004805424311518018,0.01804396095297517,0.007603590578926161,0.004510990238243792,2.3730842377264714,0.022947152220356537,TRUE,TRUE,Increasing,Small
ME_NBR,AZ,ME,Baxter State Park,1265,-170.5,Small,1984,2024,0.30961711955291865,0.3324414884286971,0.003916556834193641,0.0031270669382987624,0.022824368875778434,0.005011782624183746,0.005706092218944608,4.554141826830682,5.54053145115814e-5,TRUE,TRUE,Increasing,Small
ME_NBR,USAZ,ME,Baxter State Park,1265,-170.5,Small,1984,2024,0.3176593820365831,0.35168378628675,0.0053380065661494756,0.004225503406849856,0.034024404250166895,0.0068080241731029905,0.008506101062541724,4.99769145717635,1.4207043016732918e-5,TRUE,TRUE,Increasing,Small
ME_SAD,AZ,ME,Longfellow Mountains,1256,-4.25,Medium,1984,2024,0.34793017387387803,0.37009779684223265,0.005295055708364079,0.0045958721715979485,0.022167622968354617,0.007011394723758424,0.005541905742088654,3.1616566805515367,0.0032333624669174813,TRUE,TRUE,Increasing,Small
ME_SAD,USAZ,ME,Longfellow Mountains,1256,-4.25,Medium,1984,2024,0.35935445247221626,0.3671355655646019,0.0059007848675553315,0.005076801787691271,0.007781113092385661,0.007784162025849364,0.0019452782730964152,0.9996083157758563,0.3243612552919437,FALSE,TRUE,No significant trend,Not significant
ME_SUG,AZ,ME,Longfellow Mountains,1292,31.75,Small,1984,2024,0.3355083692925563,0.3699079409690642,0.006307017839260175,0.005488279018717722,0.03439957167650792,0.00836060288568015,0.00859989291912698,4.114484582855469,2.1555655978180714e-4,TRUE,TRUE,Increasing,Small
ME_SUG,USAZ,ME,Longfellow Mountains,1292,31.75,Small,1984,2024,0.3820580736101008,0.39937471681952214,0.0071536073078854396,0.006009960565784435,0.017316643209421334,0.009343111019233151,0.0043291608023553335,1.8534129770880772,0.07203287892006797,FALSE,TRUE,No significant trend,Not significant
NH_BON,AZ,NH,White Mountains,1431,-130.20000000000005,Small,1984,2024,0.2956091778427009,0.33195679238773135,0.007256843101327295,0.005850350026610831,0.03634761454503044,0.009321392987700225,0.00908690363625761,3.899375832881618,3.916315450081954e-4,TRUE,TRUE,Increasing,Small
NH_BON,USAZ,NH,White Mountains,1431,-130.20000000000005,Small,1984,2024,0.38716430622927794,0.37483741728083336,0.007784510474661808,0.0060885070531340865,-0.012326888948444581,0.009882738561055985,-0.0030817222371111452,-1.2473150910841695,0.22011952212811647,FALSE,TRUE,No significant trend,Not significant
NH_FRA,AZ,NH,White Mountains,1598,36.799999999999955,Small,1984,2024,0.2926614705325315,0.3179849699963194,0.0042370349497874524,0.003315409783309556,0.025323499463787924,0.0053800006688647425,0.006330874865946981,4.706969575364671,3.8752026778954004e-5,TRUE,TRUE,Increasing,Small
NH_FRA,USAZ,NH,White Mountains,1598,36.799999999999955,Small,1984,2024,0.3390913276197336,0.3396025367393014,0.004594927953425791,0.0034885249884649785,5.112091195678126e-4,0.005769156740141344,1.2780227989195314e-4,0.08861071775201725,0.9298963850499502,FALSE,TRUE,No significant trend,Not significant
NH_GUY,AZ,NH,White Mountains,1397,-164.20000000000005,Small,1984,2024,0.2890395416557049,0.3193599945236101,0.004764782107339945,0.0037275789452458764,0.03032045286790519,0.006049627535928741,0.0075801132169762975,5.011953659598381,1.4484955829504903e-5,TRUE,TRUE,Increasing,Small
NH_GUY,USAZ,NH,White Mountains,1397,-164.20000000000005,Small,1984,2024,0.3313874043326586,0.33188314075216113,0.005032472010461998,0.003893376594203977,4.957364195025127e-4,0.006362716074160372,1.2393410487562817e-4,0.07791270484561584,0.9383289400592754,FALSE,TRUE,No significant trend,Not significant
NH_MOO,AZ,NH,White Mountains,1463,-98.20000000000005,Small,1984,2024,0.3381422965716872,0.3522998424471355,0.004706112840559887,0.0039010426234994985,0.014157545875448319,0.00611274337907641,0.0035393864688620796,2.3160707063065713,0.027116470638775206,TRUE,TRUE,Increasing,Small
NH_MOO,USAZ,NH,White Mountains,1463,-98.20000000000005,Small,1984,2024,0.3382842440505899,0.3249539179503438,0.005334423029898977,0.0044371900213467695,-0.013330326100246093,0.006938639949403335,-0.003332581525061523,-1.9211727654772444,0.06338321307470873,FALSE,TRUE,No significant trend,Not significant
NH_PRE,AZ,NH,White Mountains,1917,355.79999999999995,Large,1984,2024,0.2784857000082802,0.31454856867714853,0.004565092866340886,0.0032052665046141313,0.03606286866886832,0.005577975102482776,0.00901571716721708,6.465225822326925,1.6680536602667926e-7,TRUE,TRUE,Increasing,Small
NH_PRE,USAZ,NH,White Mountains,1917,355.79999999999995,Large,1984,2024,0.36082668336153373,0.366779633227556,0.005164741670082237,0.004223921568559556,0.005952949866022295,0.00667203641596975,0.0014882374665055736,0.8922238271622294,0.37803912967131403,FALSE,TRUE,No significant trend,Not significant
NY_ALG,AZ,NY,Adirondack Mountains,1559,22.200000000000045,Medium,1984,2024,0.3151088543967794,0.33501132122341093,0.007164932533455881,0.006280576961256588,0.01990246682663155,0.009527953881880493,0.004975616706657887,2.0888500378324126,0.04385295742229393,TRUE,TRUE,Increasing,Small
NY_ALG,USAZ,NY,Adirondack Mountains,1559,22.200000000000045,Medium,1984,2024,0.3178831473527185,0.33673374373940845,0.006719778355084033,0.00573039028354361,0.018850596386689955,0.008831352894273158,0.004712649096672489,2.134508337778456,0.039681031530680096,TRUE,TRUE,Increasing,Small
NY_HAY,AZ,NY,Adirondack Mountains,1512,-24.799999999999955,Small,1984,2024,0.31306609040026345,0.34829054834661466,0.0069259664143421044,0.006455601989558062,0.035224457946351206,0.009468041393032714,0.008806114486587802,3.7203531843736943,6.758943414499842e-4,TRUE,TRUE,Increasing,Small
NY_HAY,USAZ,NY,Adirondack Mountains,1512,-24.799999999999955,Small,1984,2024,0.31626491995924916,0.36331210133602837,0.00598795295863651,0.0056744717133243,0.04704718137677921,0.008249558161511522,0.011761795344194803,5.70299408231083,2.3148342008152504e-6,TRUE,TRUE,Increasing,Moderate
NY_MAR,AZ,NY,Adirondack Mountains,1629,92.20000000000005,Small,1984,2024,0.3127617951470256,0.33620261372906257,0.005309478052949536,0.005529498814247592,0.02344081858203695,0.007665892924605608,0.005860204645509237,3.0578066785667923,0.004324679077441334,TRUE,TRUE,Increasing,Small
NY_MAR,USAZ,NY,Adirondack Mountains,1629,92.20000000000005,Small,1984,2024,0.3286183187514834,0.32910894221360565,0.006206115708813476,0.006249636013586555,4.906234621222527e-4,0.008807600268716754,1.2265586553056318e-4,0.05570455596910682,0.955893953393154,FALSE,TRUE,No significant trend,Not significant
NY_SKY,AZ,NY,Adirondack Mountains,1501,-35.799999999999955,Small,1984,2024,0.3387206757096125,0.3695612375758031,0.006779397347917903,0.006320418713098649,0.030840561866190608,0.009268652604874339,0.007710140466547652,3.3274050912180817,0.0020699663242926655,TRUE,TRUE,Increasing,Small
NY_SKY,USAZ,NY,Adirondack Mountains,1501,-35.799999999999955,Small,1984,2024,0.3282703993905455,0.35721468995732436,0.005936022485257113,0.0055138917437193005,0.028944290566778885,0.008101812458143788,0.007236072641694721,3.572569806609709,0.0010273235788660403,TRUE,TRUE,Increasing,Small
NY_WHF,AZ,NY,Adirondack Mountains,1483,-53.799999999999955,Small,1984,2024,0.28487300175321884,0.31723270946105203,0.006041169198875598,0.005086637982004616,0.032359707707833196,0.007897443336258591,0.008089926926958299,4.097491596965808,2.3525364873810907e-4,TRUE,TRUE,Increasing,Small
NY_WHF,USAZ,NY,Adirondack Mountains,1483,-53.799999999999955,Small,1984,2024,0.29277689388325023,0.31897367668607296,0.0066970445832926755,0.005856325908710298,0.026196782802822727,0.0088964576826758,0.006549195700705682,2.9446307437437826,0.005712523983669942,TRUE,TRUE,Increasing,Small
QC_ALB,AZ,QC,Monts Chic-Chocs,1151,61.25,Large,1984,2024,0.2466424131236495,0.2593749826081443,0.004658566411024981,0.0034827583279397503,0.012732569484494777,0.005816514985518722,0.003183142371123694,2.1890375106390745,0.03516139591089962,TRUE,TRUE,Increasing,Small
QC_ALB,USAZ,QC,Monts Chic-Chocs,1151,61.25,Large,1984,2024,0.32566343453981283,0.294999548250664,0.006694609957196631,0.005070512600545233,-0.030663886289148845,0.008398089098794097,-0.007665971572287211,-3.6512932797476454,8.225645411313957e-4,TRUE,TRUE,Decreasing,Small
QC_AUC,AZ,QC,Monts McGerrigle,1105,-17.615384615384528,Small,1984,2024,0.3165585649395262,0.3331555867351741,0.0077751775405572425,0.0062730517248841405,0.01659702179564787,0.009990223407424764,0.004149255448911968,1.6613263906904139,0.10533365098268305,FALSE,TRUE,No significant trend,Not significant
QC_AUC,USAZ,QC,Monts McGerrigle,1105,-17.615384615384528,Small,1984,2024,0.33174360215923737,0.3143786420393527,0.008353473442737304,0.00636527231076235,-0.017364960119884698,0.010502247861704431,-0.0043412400299711745,-1.6534517513345475,0.10693454122786332,FALSE,TRUE,No significant trend,Not significant
QC_CAS,AZ,QC,Monts McGerrigle,1136,13.384615384615472,Medium,1984,2024,0.31031662187741843,0.29780091075377224,0.007018026554833956,0.005219867087857236,-0.01251571112364619,0.008746411214849766,-0.0031289277809115473,-1.4309538868235305,0.16131211176209503,FALSE,TRUE,No significant trend,Not significant
QC_CAS,USAZ,QC,Monts McGerrigle,1136,13.384615384615472,Medium,1984,2024,0.31984332897291634,0.2773860796750486,0.0064379714215676296,0.0047731594308991635,-0.04245724929786776,0.008014394985131637,-0.01061431232446694,-5.2976237603256084,7.055250938329496e-6,TRUE,TRUE,Decreasing,Moderate
QC_COL,AZ,QC,Monts Chic-Chocs,1041,-48.75,Small,1984,2024,0.4345224632224347,0.44832828795452784,0.009923812795288329,0.007507941638169983,0.01380582473209313,0.012443924141447299,0.0034514561830232826,1.1094430161390743,0.27502481135500656,FALSE,TRUE,No significant trend,Not significant
QC_COL,USAZ,QC,Monts Chic-Chocs,1041,-48.75,Small,1984,2024,0.36420817627761515,0.36718527803668016,0.009802117730308972,0.006593782139783118,0.002977101759065015,0.011813529316244166,7.442754397662538e-4,0.2520078191173029,0.802597963487228,FALSE,TRUE,No significant trend,Not significant
QC_CON,AZ,QC,Monts McGerrigle,1207,84.38461538461547,Large,1984,2024,0.27501289221202374,0.29149062443936125,0.005393954154789206,0.004229825827824856,0.016477732227337505,0.006854645720801474,0.004119433056834376,2.403878026450484,0.02165276024659213,TRUE,TRUE,Increasing,Small
QC_CON,USAZ,QC,Monts McGerrigle,1207,84.38461538461547,Large,1984,2024,0.3208674547738436,0.3137413003368388,0.006762729824665298,0.005248693664168131,-0.007126154437004817,0.008560566561956995,-0.0017815386092512042,-0.8324395804213847,0.41080512461538243,FALSE,TRUE,No significant trend,Not significant
QC_FOR,AZ,QC,Monts Chic-Chocs,1017,-72.75,Small,1984,2024,0.32565198968908365,0.3447831265033392,0.009457469752207901,0.006297208879105496,0.019131136814255545,0.011362155331670681,0.004782784203563886,1.6837594853970828,0.10166612496384933,FALSE,TRUE,No significant trend,Not significant
QC_FOR,USAZ,QC,Monts Chic-Chocs,1017,-72.75,Small,1984,2024,0.3691672851386994,0.37416394251342894,0.010081781600020108,0.006685360745467084,0.004996657374729541,0.012096956994531154,0.0012491643436823852,0.4130507678078422,0.6821628640770869,FALSE,TRUE,No significant trend,Not significant
QC_JAC,AZ,QC,Monts McGerrigle,1276,153.38461538461547,Large,1984,2024,0.2755580971944894,0.29779275781773695,0.006191762011924302,0.004728272719492153,0.022234660623247526,0.007790666192451234,0.005558665155811882,2.854012747304178,0.007205844613439909,TRUE,TRUE,Increasing,Small
QC_JAC,USAZ,QC,Monts McGerrigle,1276,153.38461538461547,Large,1984,2024,0.3562609207974773,0.3374547071942833,0.00947088997560744,0.00722733671636584,-0.01880621360319401,0.011913528148361057,-0.004701553400798503,-1.5785595475158363,0.12343367848157581,FALSE,TRUE,No significant trend,Not significant
QC_JOS,AZ,QC,Monts McGerrigle,1086,-36.61538461538453,Small,1984,2024,0.2970298708507882,0.28123028544711365,0.009369229589613516,0.006804050819796683,-0.015799585403674543,0.011579186960286347,-0.003949896350918636,-1.3644814146159903,0.18112550736054378,FALSE,TRUE,No significant trend,Not significant
