site_id,zone,SP,SubRegion,Elevation_m,elevation_relative,az_size_class,start_year,end_year,start_ndvi,end_ndvi,start_se,end_se,total_change,change_se,change_per_decade,change_t_stat,change_p_value,significant_change,model_success,trend_direction,change_magnitude
ME_ABR,AZ,ME,Longfellow Mountains,1234,-26.25,Small,1984,2024,0.2608177053326534,0.273717111473941,0.0046773096254018025,0.004288555226367099,0.012899406141287595,0.0063457805872466876,0.0032248515353218987,2.0327532545345064,0.04994583111923265,TRUE,TRUE,Increasing,Small
ME_ABR,USAZ,ME,Longfellow Mountains,1234,-26.25,Small,1984,2024,0.3375449088519132,0.3335442608190034,0.0064243313015043,0.005780142518927739,-0.0040006480329097815,0.008641879437402735,-0.0010001620082274454,-0.46293726519657996,0.6462749583509391,FALSE,TRUE,No significant trend,Not significant
ME_BIG,AZ,ME,Longfellow Mountains,1259,-1.25,Small,1984,2024,0.2992569227761027,0.3294284472831322,0.005553933427001168,0.004653180778566612,0.03017152450702948,0.00724556884375428,0.00754288112675737,4.164134681162749,2.0179659165281159e-4,TRUE,TRUE,Increasing,Small
ME_BIG,USAZ,ME,Longfellow Mountains,1259,-1.25,Small,1984,2024,0.32602994994721385,0.32972379660091944,0.005790016962758665,0.0049463902434257355,0.0036938466537055903,0.007615186988465246,9.234616634263976e-4,0.4850631585673043,0.630742353985581,FALSE,TRUE,No significant trend,Not significant
ME_KAT,AZ,ME,Baxter State Park,1606,170.5,Large,1984,2024,0.25434685844108457,0.2874226986780297,0.0041759076562667575,0.003387131454873493,0.03307584023694515,0.005376882390964187,0.008268960059236288,6.151490367825205,3.9160995375711403e-7,TRUE,TRUE,Increasing,Small
ME_KAT,USAZ,ME,Baxter State Park,1606,170.5,Large,1984,2024,0.32300146218742165,0.3433677253411535,0.005766885712993973,0.004702920905058627,0.020366263153731856,0.00744140012806538,0.005091565788432964,2.736885908999855,0.009474397001522519,TRUE,TRUE,Increasing,Small
ME_NBR,AZ,ME,Baxter State Park,1265,-170.5,Small,1984,2024,0.2876992135367854,0.3122906373387264,0.003891739113451119,0.0031072519126771948,0.024591423801941015,0.0049800248770464385,0.006147855950485254,4.9380122407191145,1.708162355053949e-5,TRUE,TRUE,Increasing,Small
ME_NBR,USAZ,ME,Baxter State Park,1265,-170.5,Small,1984,2024,0.2904410632816638,0.33042451473049417,0.005193243461896798,0.004110910630946418,0.039983451448830365,0.0066233951920568745,0.009995862862207591,6.036700255600124,5.599902023290842e-7,TRUE,TRUE,Increasing,Small
ME_SAD,AZ,ME,Longfellow Mountains,1256,-4.25,Medium,1984,2024,0.3245838346406966,0.34453330415328404,0.00514233945578218,0.004463321276187498,0.019949469512587414,0.0068091770349258925,0.004987367378146854,2.929791575437359,0.005935295848326089,TRUE,TRUE,Increasing,Small
ME_SAD,USAZ,ME,Longfellow Mountains,1256,-4.25,Medium,1984,2024,0.33396796007579294,0.33832622080254565,0.005752257212995672,0.004949014471407959,0.004358260726752716,0.0075882282044404895,0.001089565181688179,0.5743449734685553,0.5694076770141456,FALSE,TRUE,No significant trend,Not significant
ME_SUG,AZ,ME,Longfellow Mountains,1292,31.75,Small,1984,2024,0.2997913191192632,0.33173365461828785,0.006123050691266728,0.005328193370603524,0.03194233549902464,0.008116735449820039,0.00798558387475616,3.9353673279733243,3.639130407178708e-4,TRUE,TRUE,Increasing,Small
ME_SUG,USAZ,ME,Longfellow Mountains,1292,31.75,Small,1984,2024,0.33802572432437245,0.36255448000667667,0.007048342182455082,0.0059215241692140725,0.024528755682304226,0.009205627409772899,0.006132188920576057,2.6645392639141523,0.011463989894864454,TRUE,TRUE,Increasing,Small
NH_BON,AZ,NH,White Mountains,1431,-130.20000000000005,Small,1984,2024,0.27417920997820594,0.3020414602212674,0.007074849095046113,0.005703629390016747,0.027862250243061437,0.009087622237765916,0.006965562560765359,3.0659560349320856,0.004039657703488905,TRUE,TRUE,Increasing,Small
NH_BON,USAZ,NH,White Mountains,1431,-130.20000000000005,Small,1984,2024,0.35065864354485854,0.34662971036775525,0.007878811588289276,0.006162262878539946,-0.004028933177103289,0.010002457489436923,-0.0010072332942758222,-0.402794331428855,0.6894174903301525,FALSE,TRUE,No significant trend,Not significant
NH_FRA,AZ,NH,White Mountains,1598,36.799999999999955,Small,1984,2024,0.26560265135283745,0.28894094461503755,0.003992671260569816,0.003124199237369073,0.023338293262200105,0.005069718401426026,0.005834573315550026,4.603469347653597,5.281781479539055e-5,TRUE,TRUE,Increasing,Small
NH_FRA,USAZ,NH,White Mountains,1598,36.799999999999955,Small,1984,2024,0.3094006894184399,0.31352032017645864,0.004385401480217014,0.0033294499507402204,0.004119630758018744,0.005506086007062879,0.001029907689504686,0.7481958604958817,0.4593403430247157,FALSE,TRUE,No significant trend,Not significant
NH_GUY,AZ,NH,White Mountains,1397,-164.20000000000005,Small,1984,2024,0.2681075128979002,0.2922701787783854,0.004431856160181694,0.0034671246950837504,0.024162665880485212,0.005626926574587588,0.006040666470121303,4.294114302043502,1.2669780882122592e-4,TRUE,TRUE,Increasing,Small
NH_GUY,USAZ,NH,White Mountains,1397,-164.20000000000005,Small,1984,2024,0.30981878358826354,0.31133119837095796,0.004949888778278587,0.003829486000756426,0.0015124147826944268,0.00625830344001613,3.781036956736067e-4,0.24166530069857536,0.8104108223434694,FALSE,TRUE,No significant trend,Not significant
NH_MOO,AZ,NH,White Mountains,1463,-98.20000000000005,Small,1984,2024,0.31216066954778726,0.3160479117093947,0.00469059355319176,0.003888178205760165,0.0038872421616074626,0.006092585464397888,9.718105404018657e-4,0.6380283353139022,0.5279949845862497,FALSE,TRUE,No significant trend,Not significant
NH_MOO,USAZ,NH,White Mountains,1463,-98.20000000000005,Small,1984,2024,0.3189707023145927,0.29318438708511174,0.00542351100535367,0.004511293682322648,-0.02578631522948094,0.007054519282938889,-0.006446578807370235,-3.65529020408864,8.846629821885421e-4,TRUE,TRUE,Decreasing,Small
NH_PRE,AZ,NH,White Mountains,1917,355.79999999999995,Large,1984,2024,0.26013029664817683,0.28414811458285133,0.0041421213673338885,0.0029082875782554573,0.0240178179346745,0.0050611565930683226,0.006004454483668625,4.745519624421207,3.2612310403523115e-5,TRUE,TRUE,Increasing,Small
NH_PRE,USAZ,NH,White Mountains,1917,355.79999999999995,Large,1984,2024,0.3322066988561349,0.3324381423413155,0.005016272390722547,0.004102497762410911,2.3144348518061575e-4,0.006480237386740692,5.786087129515394e-5,0.035715278834410544,0.9717013820756459,FALSE,TRUE,No significant trend,Not significant
NY_ALG,AZ,NY,Adirondack Mountains,1559,22.200000000000045,Medium,1984,2024,0.2873650849194674,0.300401726002178,0.007117093417415266,0.006238642546850226,0.013036641082710632,0.009464337247773116,0.003259160270677658,1.3774489160113192,0.17687763236759843,FALSE,TRUE,No significant trend,Not significant
NY_ALG,USAZ,NY,Adirondack Mountains,1559,22.200000000000045,Medium,1984,2024,0.29770348564748644,0.3021656319658105,0.006731098012228365,0.005740043288432356,0.004462146318324034,0.008846229558591727,0.0011155365795810085,0.5044122231702954,0.6170452876147805,FALSE,TRUE,No significant trend,Not significant
