site_id,zone,SP,SubRegion,Elevation_m,elevation_relative,az_size_class,start_year,end_year,start_ndvi,end_ndvi,start_se,end_se,total_change,change_se,change_per_decade,change_t_stat,change_p_value,significant_change,model_success,trend_direction,change_magnitude
ME_ABR,AZ,ME,Longfellow Mountains,1234,-26.25,Small,1984,2024,0.25214606894593544,0.2619455267510891,0.009164586727880415,0.00840287247521481,0.009799457805153677,0.012433741019000055,0.0024498644512884193,0.7881343024741373,0.43607887342307683,FALSE,TRUE,No significant trend,Not significant
ME_ABR,USAZ,ME,Longfellow Mountains,1234,-26.25,Small,1984,2024,0.3227506069802057,0.3209076044570981,0.013337961006883914,0.012000519885024853,-0.0018430025231075953,0.017941953108065817,-4.607506307768988e-4,-0.10272028424146713,0.9187712686848037,FALSE,TRUE,No significant trend,Not significant
ME_BIG,AZ,ME,Longfellow Mountains,1259,-1.25,Small,1984,2024,0.2800061684594563,0.3133256660334438,0.014453904943692536,0.01210972971556378,0.0333194975739875,0.01885632312794061,0.008329874393496875,1.7670198663818975,0.08620111526276232,FALSE,TRUE,No significant trend,Not significant
ME_BIG,USAZ,ME,Longfellow Mountains,1259,-1.25,Small,1984,2024,0.30776445981993983,0.31894783932986404,0.013182952988787107,0.011262148360306043,0.011183379509924207,0.0173385765042611,0.002795844877481052,0.6449998653104999,0.523256033047409,FALSE,TRUE,No significant trend,Not significant
ME_KAT,AZ,ME,Baxter State Park,1606,170.5,Large,1984,2024,0.25023042966468695,0.2784084426218917,0.007838313637028478,0.006357755213600209,0.028178012957204734,0.010092582029812155,0.007044503239301184,2.791952829709048,0.008241659203372689,TRUE,TRUE,Increasing,Small
ME_KAT,USAZ,ME,Baxter State Park,1606,170.5,Large,1984,2024,0.32039177194792173,0.3311820847564653,0.009655226500624428,0.007873880082372655,0.01079031280854359,0.012458787514439159,0.0026975782021358974,0.866080491062081,0.3920275731052043,FALSE,TRUE,No significant trend,Not significant
ME_NBR,AZ,ME,Baxter State Park,1265,-170.5,Small,1984,2024,0.28560116789738776,0.3050924383367593,0.006358374829422249,0.005076669266435135,0.019491270439371544,0.008136430501896852,0.004872817609842886,2.395555450861103,0.021768803884167492,TRUE,TRUE,Increasing,Small
ME_NBR,USAZ,ME,Baxter State Park,1265,-170.5,Small,1984,2024,0.2881244647261424,0.32417066266281314,0.008030729683281711,0.006357031452787261,0.03604619793667074,0.010242288227621231,0.009011549484167686,3.5193500842382037,0.001165867525083645,TRUE,TRUE,Increasing,Small
ME_SAD,AZ,ME,Longfellow Mountains,1256,-4.25,Medium,1984,2024,0.30919511323053395,0.3359592955271192,0.010191238944411745,0.008845540828728656,0.026764182296585226,0.013494626477779971,0.0066910455741463065,1.983321460631362,0.055220791754617395,FALSE,TRUE,No significant trend,Not significant
ME_SAD,USAZ,ME,Longfellow Mountains,1256,-4.25,Medium,1984,2024,0.3189638056168586,0.32870149289644474,0.011478456471338834,0.009875609709826962,0.009737687279586127,0.015142081432393926,0.0024344218198965317,0.6430877632683965,0.524358331146671,FALSE,TRUE,No significant trend,Not significant
ME_SUG,AZ,ME,Longfellow Mountains,1292,31.75,Small,1984,2024,0.2775280320535967,0.3180011716615182,0.015263588149596895,0.01328216166923155,0.04047313960792148,0.02023346094488332,0.01011828490198037,2.000307298794397,0.053053825530478056,FALSE,TRUE,No significant trend,Not significant
ME_SUG,USAZ,ME,Longfellow Mountains,1292,31.75,Small,1984,2024,0.31097814799552476,0.35795757276182083,0.01775899251442289,0.014919863518660419,0.046979424766296074,0.023194485175204522,0.011744856191574019,2.0254566726282954,0.05028310537812771,FALSE,TRUE,No significant trend,Not significant
NH_BON,AZ,NH,White Mountains,1431,-130.20000000000005,Small,1984,2024,0.26794432568549476,0.3038745521816034,0.01039958104474033,0.008383974738369371,0.035930226496108664,0.013358230358836388,0.008982556624027166,2.689744489421912,0.010663472961272387,TRUE,TRUE,Increasing,Small
NH_BON,USAZ,NH,White Mountains,1431,-130.20000000000005,Small,1984,2024,0.33985523280126445,0.3522607859061906,0.011908365954260905,0.009313902311496246,0.012405553104926137,0.0151181333493489,0.0031013882762315342,0.8205743935616505,0.41714424666150396,FALSE,TRUE,No significant trend,Not significant
NH_FRA,AZ,NH,White Mountains,1598,36.799999999999955,Small,1984,2024,0.24914542514893376,0.28884539664380643,0.007813254794786582,0.006113742674561887,0.03969997149487267,0.009920927374949111,0.009924992873718168,4.001639160782216,3.107245863782284e-4,TRUE,TRUE,Increasing,Small
NH_FRA,USAZ,NH,White Mountains,1598,36.799999999999955,Small,1984,2024,0.2925830476056015,0.3148200706938829,0.008017311400535115,0.006086839977593046,0.022237023088281405,0.010066126514502748,0.005559255772070351,2.209094337950498,0.033806881561989924,TRUE,TRUE,Increasing,Small
NH_GUY,AZ,NH,White Mountains,1397,-164.20000000000005,Small,1984,2024,0.26287915911971876,0.29129937077090295,0.00657766244771065,0.005145829441235219,0.02842021165118419,0.008351359405169078,0.007105052912796048,3.403064132719936,0.0016477922252786858,TRUE,TRUE,Increasing,Small
NH_GUY,USAZ,NH,White Mountains,1397,-164.20000000000005,Small,1984,2024,0.30227399847850595,0.3137441186604441,0.007260013650332909,0.0056167162303228805,0.01147012018193816,0.009179068548332812,0.00286753004548454,1.2495952199879223,0.21951079162271528,FALSE,TRUE,No significant trend,Not significant
NH_MOO,AZ,NH,White Mountains,1463,-98.20000000000005,Small,1984,2024,0.29080262510431154,0.31628374206812027,0.009852840503938018,0.008167324514010529,0.025481116963808725,0.012797798862038693,0.006370279240952181,1.9910546523271093,0.05507074870553967,FALSE,TRUE,No significant trend,Not significant
NH_MOO,USAZ,NH,White Mountains,1463,-98.20000000000005,Small,1984,2024,0.30106402192501974,0.29209900510588427,0.010139130759988823,0.008433761173643646,-0.008965016819135474,0.01318826372583634,-0.0022412542047838685,-0.679772334365186,0.5013896704880844,FALSE,TRUE,No significant trend,Not significant
