zone,SubRegion,n_sites,pct_increasing,pct_decreasing,pct_no_trend,median_total_change,mean_total_change,median_change_per_decade,mean_change_per_decade
AZ,Adirondack Mountains,5,0,0,100,0.01083,0.01156,0.0027,0.0029
AZ,Baxter State Park,2,100,0,0,0.02383,0.02383,0.006,0.006
AZ,Green Mountains,2,0,0,100,0.02382,0.02382,0.006,0.006
AZ,Longfellow Mountains,4,0,0,100,0.03004,0.02759,0.0075,0.0069
AZ,Monts Chic-Chocs,4,0,0,100,-0.01219,-0.00986,-0.003,-0.0025
AZ,Monts McGerrigle,13,0,0,100,0.00672,0.00452,0.0017,0.0011
AZ,White Mountains,5,80,0,20,0.02842,0.0315,0.0071,0.0079
USAZ,Adirondack Mountains,5,0,0,100,0.00665,0.00677,0.0017,0.0017
USAZ,Baxter State Park,2,50,0,50,0.02342,0.02342,0.0059,0.0059
USAZ,Green Mountains,2,0,0,100,0.01174,0.01174,0.0029,0.0029
USAZ,Longfellow Mountains,4,0,0,100,0.01046,0.01651,0.0026,0.0041
USAZ,Monts Chic-Chocs,4,0,25,75,-0.03017,-0.03162,-0.0075,-0.0079
USAZ,Monts McGerrigle,13,0,38.5,61.5,-0.02685,-0.03072,-0.0067,-0.0077
USAZ,White Mountains,5,20,0,80,0.01147,0.00854,0.0029,0.0021
