site_id,zone,SP,SubRegion,Elevation_m,elevation_relative,az_size_class,median_peak_doy_1984,median_peak_doy_2024,low_peak_doy_1984,low_peak_doy_2024,high_peak_doy_1984,high_peak_doy_2024,median_peak_ndvi_1984,median_peak_ndvi_2024,low_peak_ndvi_1984,low_peak_ndvi_2024,high_peak_ndvi_1984,high_peak_ndvi_2024,median_seasonal_mean_ndvi_1984,median_seasonal_mean_ndvi_2024,low_seasonal_mean_ndvi_1984,low_seasonal_mean_ndvi_2024,high_seasonal_mean_ndvi_1984,high_seasonal_mean_ndvi_2024,peak_doy_change,peak_ndvi_change,seasonal_mean_ndvi_change,peak_doy_significant,peak_ndvi_significant,seasonal_mean_ndvi_significant
ME_ABR,AZ,ME,Longfellow Mountains,1234,-26.25,Small,213,208,195,203.47500000000002,233.04999999999998,219.04999999999998,0.28413363360175903,0.29811274190376835,0.2749293285453279,0.28742370164693387,0.30383529663118836,0.30488296147050664,0.26162010486068055,0.27170854455419824,0.250628971362724,0.2666340267370092,0.27175275014592426,0.2791660053910029,-5,0.013979108302009324,0.010088439693517692,FALSE,FALSE,FALSE
ME_ABR,USAZ,ME,Longfellow Mountains,1234,-26.25,Small,208,207,196,199,223,220,0.3729959456028532,0.359850133219769,0.357649298648523,0.3466637823343759,0.3927922753338431,0.36808980954703785,0.34328796120524285,0.3324745477504687,0.3318126082797528,0.32443002218809014,0.3550479113612856,0.3391929801558692,-1,-0.01314581238308421,-0.010813413454774157,FALSE,FALSE,FALSE
ME_BIG,AZ,ME,Longfellow Mountains,1259,-1.25,Small,208.5,207,191.475,199,230.52499999999998,222.52499999999998,0.336778263231613,0.3632300657738297,0.32244216827166083,0.34745159006632975,0.3953561973461298,0.38323409025378125,0.304574950605775,0.330453465926875,0.2872922871174082,0.32031808475490275,0.3367684347932355,0.34765248217216316,-1.5,0.02645180254221674,0.025878515321100026,FALSE,FALSE,FALSE
ME_BIG,USAZ,ME,Longfellow Mountains,1259,-1.25,Small,202,198,192.475,188.425,225,205.52499999999998,0.3628236104461118,0.35863157912349863,0.3435685228233665,0.3417516733326136,0.40035136761926665,0.3707587958453057,0.3318266287969356,0.3286347362350187,0.3175369949206813,0.3152703394387227,0.35058240791683115,0.33669328321443676,-4,-0.004192031322613143,-0.003191892561916876,FALSE,FALSE,FALSE
ME_KAT,AZ,ME,Baxter State Park,1606,170.5,Large,209,216,197,205.47500000000002,218,222,0.28291504707889237,0.31513101500193813,0.2752765212077012,0.30609065152393333,0.29299519640741556,0.3250264236288537,0.25438758481498597,0.28851783199399084,0.2459108457578222,0.28446833104838737,0.2602727721728353,0.2951259599715925,7,0.03221596792304576,0.03413024717900487,FALSE,TRUE,TRUE
ME_KAT,USAZ,ME,Baxter State Park,1606,170.5,Large,203.5,206,171.95,199,217.52499999999998,214,0.351664715424955,0.3749269985163498,0.3457138163036417,0.36817009705841286,0.36061486073246485,0.38247369236302875,0.3214959048916751,0.3458849062893614,0.3129475448481334,0.3419177104985323,0.32995718205927643,0.3501924202755443,2.5,0.02326228309139483,0.024389001397686294,FALSE,TRUE,TRUE
ME_NBR,AZ,ME,Baxter State Park,1265,-170.5,Small,206,212,197.475,202.475,222.04999999999998,224,0.3078625127366974,0.33611399547005005,0.295930387120957,0.3289171393506247,0.3170058124655073,0.34299860027465623,0.28527644303830013,0.31465066480651727,0.27703138395902915,0.31028860932917457,0.29088828958874274,0.3191759757792029,6,0.02825148273335265,0.029374221768217135,FALSE,TRUE,TRUE
ME_NBR,USAZ,ME,Baxter State Park,1265,-170.5,Small,199.5,211,192,203,218.09999999999997,221,0.31724602738088936,0.3536787749178154,0.2962296621693875,0.3451570389820348,0.3366690953473476,0.35969181579252574,0.28709917924724915,0.3318072855316514,0.279799506020742,0.3273219557529078,0.2985181869535007,0.3355356380891552,11.5,0.03643274753692605,0.04470810628440225,FALSE,TRUE,TRUE
ME_SAD,AZ,ME,Longfellow Mountains,1256,-4.25,Medium,213,202,193.375,195.47500000000002,233,214.09999999999997,0.35250894528578974,0.3734632835757309,0.3329893880640864,0.36008236200963883,0.38180165354614154,0.3840612308324874,0.32680291824102536,0.3458139436430072,0.30664558323295243,0.3388874269057489,0.33924219248076415,0.35393694806107134,-11,0.020954338289941143,0.01901102540198185,FALSE,FALSE,FALSE
ME_SAD,USAZ,ME,Longfellow Mountains,1256,-4.25,Medium,216.5,204,195,196.475,234.52499999999998,217.04999999999998,0.36838000899377565,0.3692702921420344,0.33382520117851777,0.3556024167372695,0.39182953679976273,0.38253280956863694,0.33803365888444314,0.3382241129667485,0.3198078494429527,0.3319745503377816,0.351089040836603,0.34766525902428846,-12.5,8.902831482587303e-4,1.9045408230533578e-4,FALSE,FALSE,FALSE
ME_SUG,AZ,ME,Longfellow Mountains,1292,31.75,Small,218,204,198,197.475,237,219.04999999999998,0.3429260674395868,0.3724642270291775,0.3256502198327102,0.3580304365251382,0.4239250730500123,0.39178226381646897,0.30261479050913803,0.3316610752639264,0.27863821748305306,0.3236098428853287,0.34187570885559004,0.34231755338178205,-14,0.029538159589590662,0.029046284754788376,FALSE,FALSE,FALSE
ME_SUG,USAZ,ME,Longfellow Mountains,1292,31.75,Small,211,205,198.47500000000002,195,232.14999999999995,219.04999999999998,0.38982118266910104,0.4041784699087426,0.3778052674908082,0.39181213721218267,0.4455459653267909,0.4236691288257842,0.3451248187767292,0.36558002035671905,0.3276988884391549,0.35627925231898183,0.3722368769975224,0.3792082999054038,-6,0.01435728723964158,0.020455201579989868,FALSE,FALSE,FALSE
NH_BON,AZ,NH,White Mountains,1431,-130.20000000000005,Small,205,196,186.325,190,226.52499999999998,205,0.3029825697430083,0.3409426418743592,0.29310802182145324,0.32556528590982436,0.32600252475142333,0.3495236926607518,0.2758595081473725,0.30582033616121773,0.26563750482127,0.29734022085501055,0.2863902514923184,0.31278808283762954,-9,0.037960072131350886,0.029960828013845253,FALSE,FALSE,TRUE
NH_BON,USAZ,NH,White Mountains,1431,-130.20000000000005,Small,206.5,193,197.475,162.925,227.52499999999998,199,0.3906334220729605,0.3788671945195955,0.3798834494152685,0.367954026871519,0.42493054656380647,0.3879663022164637,0.3548810133229262,0.34904001023096726,0.34024421695495644,0.3388643917442855,0.37083018810217117,0.35617337355423223,-13.5,-0.011766227553364983,-0.005841003091958952,FALSE,FALSE,FALSE
NH_FRA,AZ,NH,White Mountains,1598,36.799999999999955,Small,206,194,196,189,217.62499999999994,203,0.2965608249780823,0.32723136080452786,0.2716697739368864,0.31136897626010956,0.30410524471359,0.34081511312533136,0.26517197575725693,0.29232174895262886,0.2542413140827339,0.2829276691777086,0.2723512697124142,0.3015059605965971,-12,0.030670535826445577,0.02714977319537193,FALSE,TRUE,TRUE
